

Trajectories
100
,,Carre:Ante_braco1,,,Carre:Ante_braco2,,,Carre:braco2,,,Carre:caneta1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
687,0,20.6869,-109.287,249.394,76.7348,43.8308,123.072,-31.6069,175.609,91.0498,-137.058,276.109,208.945
688,0,20.6763,-109.307,249.363,76.7412,43.8403,123.06,-31.6316,175.619,91.0575,-137.083,276.108,208.946
689,0,20.6653,-109.335,249.371,76.7626,43.7816,123.078,-31.6389,175.592,91.0753,-137.138,276.077,208.935
690,0,20.6283,-109.321,249.335,76.7622,43.8087,123.032,-31.627,175.59,91.0561,-137.169,276.035,208.929
691,0,20.7335,-109.336,249.385,76.7817,43.8056,123.053,-31.63,175.573,91.0568,-137.197,276.01,208.922
692,0,20.7332,-109.358,249.346,76.7903,43.7934,123.059,-31.6055,175.562,91.0388,-137.214,276.012,208.936
693,0,20.7234,-109.384,249.364,76.7561,43.7819,123.064,-31.5946,175.573,91.0491,-137.253,276.01,208.939
694,0,20.7607,-109.39,249.376,76.7265,43.7682,123.049,-31.6318,175.57,91.0788,-137.215,276.001,208.925
695,0,20.7297,-109.394,249.38,76.7228,43.7617,123.057,-31.6326,175.568,91.0557,-137.222,276.009,208.927
696,0,20.7308,-109.397,249.351,76.7274,43.7617,123.036,-31.6433,175.574,91.0668,-137.241,276.005,208.948
697,0,20.673,-109.393,249.343,76.7255,43.7646,123.035,-31.6373,175.566,91.0571,-137.265,276.009,208.939
698,0,20.711,-109.401,249.334,76.7095,43.7742,123.043,-31.6342,175.557,91.0577,-137.269,275.974,208.952
699,0,20.6511,-109.383,249.318,76.7576,43.7808,123.049,-31.6284,175.567,91.0777,-137.303,275.941,209.001
700,0,20.6434,-109.382,249.301,76.7545,43.7793,123.065,-31.6517,175.562,91.0785,-137.359,275.89,208.974
701,0,20.69,-109.383,249.317,76.7505,43.7873,123.032,-31.6381,175.563,91.0683,-137.349,275.861,208.99
702,0,20.7021,-109.411,249.288,76.7309,43.7771,123.028,-31.6364,175.557,91.0571,-137.408,275.845,208.984
703,0,20.7007,-109.379,249.286,76.7223,43.7622,123.022,-31.6564,175.531,91.0908,-137.416,275.866,208.984
704,0,20.6759,-109.407,249.261,76.7032,43.7614,122.983,-31.6507,175.545,91.0777,-137.435,275.905,208.953
705,0,20.6785,-109.413,249.225,76.7122,43.7602,122.986,-31.6811,175.523,91.0697,-137.48,275.921,208.923
706,0,20.6506,-109.387,249.217,76.699,43.7487,122.95,-31.6847,175.493,91.0575,-137.565,275.922,208.93
707,0,20.659,-109.432,249.163,76.706,43.7333,122.923,-31.684,175.479,91.0631,-137.549,275.909,208.94
708,0,20.6701,-109.424,249.15,76.7169,43.7323,122.905,-31.7126,175.488,91.0537,-137.606,275.895,208.932
709,0,20.6484,-109.402,249.122,76.7562,43.7356,122.875,-31.718,175.478,91.0525,-137.692,275.844,208.933
710,0,20.7153,-109.426,249.111,76.7505,43.7138,122.846,-31.6969,175.476,91.0491,-137.712,275.832,208.926
711,0,20.7178,-109.407,249.097,76.7594,43.7128,122.845,-31.6984,175.483,91.0412,-137.81,275.798,208.926
712,0,20.7214,-109.394,249.08,76.8005,43.7077,122.84,-31.6954,175.473,91.0305,-137.871,275.787,208.941
713,0,20.7303,-109.386,249.041,76.7925,43.7197,122.794,-31.6582,175.485,91.0389,-137.928,275.812,208.922
714,0,20.7165,-109.397,249.023,76.809,43.7126,122.762,-31.6848,175.462,91.0366,-137.971,275.808,208.919
715,0,20.7566,-109.413,248.992,76.7793,43.7021,122.739,-31.6623,175.485,91.0497,-138.023,275.824,208.923
716,0,20.75,-109.409,248.956,76.7556,43.6786,122.729,-31.6598,175.492,91.0501,-138.061,275.844,208.903
717,0,20.756,-109.426,248.943,76.7601,43.6736,122.686,-31.6596,175.469,91.0391,-138.101,275.812,208.929
718,0,20.7687,-109.435,248.908,76.7755,43.6704,122.665,-31.6757,175.451,91.0286,-138.185,275.735,208.916
719,0,20.8195,-109.47,248.899,76.7597,43.6349,122.639,-31.6898,175.447,91.0332,-138.324,275.737,208.94
720,0,20.8611,-109.478,248.907,76.7709,43.6136,122.62,-31.6891,175.465,91.0161,-138.424,275.784,208.926
721,0,20.8311,-109.47,248.863,76.7643,43.5978,122.603,-31.6625,175.453,91.0319,-138.526,275.832,208.937
722,0,20.8452,-109.462,248.857,76.7707,43.5813,122.579,-31.665,175.456,91.0118,-138.621,275.884,208.935
723,0,20.8735,-109.478,248.854,76.7779,43.5634,122.559,-31.6448,175.462,91.0366,-138.664,275.88,208.931
724,0,20.9076,-109.466,248.842,76.7908,43.58,122.554,-31.6623,175.469,91.016,-138.731,275.865,208.95
725,0,20.9488,-109.459,248.833,76.7636,43.5521,122.555,-31.6413,175.448,91.0244,-138.742,275.811,208.964
726,0,20.9232,-109.489,248.82,76.7583,43.5697,122.506,-31.6713,175.453,91.0046,-138.716,275.769,208.965
727,0,21.0182,-109.515,248.817,76.7896,43.5405,122.524,-31.6865,175.437,91.0058,-138.729,275.73,209.006
728,0,21.0267,-109.535,248.832,76.8081,43.546,122.515,-31.6403,175.447,91.0122,-138.73,275.694,208.972
729,0,21.0443,-109.537,248.822,76.8077,43.5417,122.499,-31.6358,175.46,91.014,-138.709,275.72,208.978
730,0,21.0682,-109.508,248.777,76.8246,43.5677,122.5,-31.6362,175.477,91.0027,-138.68,275.695,208.962
731,0,21.1127,-109.496,248.769,76.8272,43.5602,122.476,-31.6272,175.485,91.0133,-138.671,275.657,208.977
732,0,21.158,-109.515,248.758,76.8274,43.5532,122.481,-31.6254,175.505,91.0335,-138.679,275.676,208.961
733,0,21.1553,-109.525,248.775,76.8621,43.5684,122.458,-31.5977,175.511,91.0223,-138.667,275.659,208.939
734,0,21.1531,-109.502,248.741,76.8803,43.5648,122.454,-31.5924,175.53,91.0347,-138.687,275.606,208.955
735,0,21.1892,-109.503,248.752,76.8641,43.5754,122.418,-31.5688,175.51,91.0321,-138.689,275.582,208.969
736,0,21.2088,-109.475,248.74,76.8958,43.5686,122.402,-31.5977,175.523,91.0143,-138.697,275.6,208.963
737,0,21.1566,-109.495,248.69,76.853,43.565,122.393,-31.5999,175.521,91.015,-138.648,275.564,208.977
738,0,21.2051,-109.515,248.709,76.8497,43.5396,122.366,-31.5915,175.514,91.0134,-138.707,275.558,208.989
739,0,21.2335,-109.52,248.718,77.1336,43.7678,122.327,-31.5768,175.522,91.021,-138.703,275.541,209.018
740,0,21.2176,-109.499,248.682,77.1341,43.7253,122.31,-31.5684,175.515,91.0122,-138.724,275.548,209.013
741,0,21.2523,-109.53,248.706,77.106,43.7089,122.287,-31.5788,175.542,91.0012,-138.731,275.559,209.03
742,0,21.2907,-109.537,248.702,77.1145,43.6725,122.253,-31.5494,175.522,91.0042,-138.775,275.491,209.04
743,0,21.3257,-109.548,248.693,77.1109,43.6278,122.239,-31.5576,175.518,90.9787,-138.767,275.443,209.062
744,0,21.3826,-109.598,248.706,77.1277,43.611,122.21,-31.5451,175.517,90.9889,-138.758,275.41,209.089
745,0,21.3683,-109.577,248.687,77.1325,43.5945,122.167,-31.5964,175.514,90.9755,-138.788,275.336,209.134
746,0,21.3987,-109.606,248.669,76.8727,43.3436,122.147,-31.5792,175.517,90.9921,-138.772,275.318,209.141
747,0,21.3928,-109.612,248.657,76.8653,43.3029,122.103,-31.5944,175.514,90.989,-138.779,275.298,209.169
748,0,21.4251,-109.624,248.669,76.8506,43.2683,122.082,-31.5607,175.515,90.9944,-138.774,275.246,209.176
749,0,21.4534,-109.648,248.691,76.8239,43.2446,122.013,-31.6032,175.493,90.9833,-138.83,275.095,209.28
750,0,21.5185,-109.628,248.651,76.8058,43.2173,121.984,-31.5756,175.499,90.9621,-138.833,275.048,209.298
751,0,21.4993,-109.62,248.647,76.7662,43.177,121.956,-31.6099,175.497,90.9989,-138.811,275.058,209.349
752,0,21.5165,-109.683,248.692,76.749,43.1473,121.932,-31.5923,175.499,91.0117,-138.812,275.019,209.369
753,0,21.5048,-109.633,248.647,76.7303,43.138,121.916,-31.5971,175.487,90.9927,-138.8,275.018,209.386
754,0,21.5567,-109.665,248.639,76.722,43.117,121.89,-31.5838,175.492,90.9901,-138.827,275.01,209.416
755,0,21.5817,-109.666,248.634,76.728,43.0949,121.88,-31.5771,175.477,91.0079,-138.792,274.996,209.415
756,0,21.6136,-109.648,248.648,76.721,43.096,121.889,-31.6232,175.471,90.9825,-138.828,275.041,209.437
757,0,21.6881,-109.706,248.681,76.7241,43.0806,121.868,-31.5814,175.488,90.9885,-138.842,275.059,209.442
758,0,21.6579,-109.719,248.692,76.4313,43.3142,121.852,-31.57,175.47,90.9848,-138.873,275.065,209.47
759,0,21.629,-109.702,248.685,76.4216,43.301,121.849,-31.6031,175.477,90.9823,-138.846,275.063,209.495
760,0,21.6334,-109.708,248.681,76.4109,43.2936,121.855,-31.6066,175.479,90.9934,-138.862,275.056,209.491
761,0,21.671,-109.675,248.667,76.6447,43.0688,121.845,-31.5771,175.461,90.9751,-138.942,275.053,209.505
762,0,21.6402,-109.706,248.663,76.4038,43.2767,121.829,-31.5888,175.462,90.9747,-138.974,275.062,209.515
763,0,21.5863,-109.697,248.658,76.6072,43.0758,121.824,-31.5882,175.457,90.9738,-138.987,275.063,209.529
764,0,21.5878,-109.691,248.68,76.5742,43.0855,121.831,-31.6213,175.454,90.9608,-138.994,275.083,209.511
765,0,21.5605,-109.69,248.667,76.5633,43.0739,121.827,-31.628,175.44,90.9557,-138.969,275.063,209.498
766,0,21.5865,-109.705,248.686,76.5955,43.0761,121.824,-31.646,175.421,90.9404,-139.003,275.032,209.49
767,0,21.5427,-109.669,248.67,76.5732,43.0757,121.846,-31.7025,175.426,90.9558,-138.975,274.997,209.492
768,0,21.5764,-109.73,248.723,76.5743,43.0698,121.831,-31.6675,175.424,90.9419,-138.913,274.992,209.49
769,0,21.5055,-109.724,248.722,76.3494,43.2685,121.843,-31.672,175.431,90.9494,-138.931,274.972,209.508
770,0,21.545,-109.661,248.662,76.556,43.0763,121.831,-31.6978,175.435,90.9412,-138.901,274.961,209.523
771,0,21.5087,-109.662,248.665,76.3615,43.274,121.841,-31.6609,175.417,90.927,-138.873,274.96,209.535
772,0,21.5441,-109.705,248.68,76.354,43.2877,121.844,-31.6437,175.404,90.9402,-138.824,274.954,209.521
773,0,21.512,-109.654,248.651,76.3604,43.2956,121.848,-31.6471,175.43,90.9431,-138.821,274.929,209.551
774,0,21.5376,-109.677,248.684,76.6016,43.1024,121.871,-31.6525,175.421,90.9344,-138.752,274.951,209.527
775,0,21.5395,-109.645,248.658,76.6323,43.1087,121.886,-31.64,175.412,90.9188,-138.757,274.941,209.545
776,0,21.4511,-109.672,248.683,76.3847,43.3343,121.901,-31.6447,175.433,90.9161,-138.718,274.934,209.527
777,0,21.4846,-109.622,248.64,76.6291,43.1384,121.896,-31.6229,175.44,90.9178,-138.779,274.93,209.55
778,0,21.495,-109.63,248.697,76.6165,43.1647,121.908,-31.6358,175.457,90.9062,-138.736,274.939,209.542
779,0,21.4576,-109.648,248.711,76.5853,43.1592,121.913,-31.6535,175.46,90.926,-138.756,274.956,209.574
780,0,21.3863,-109.638,248.685,76.5756,43.1906,121.91,-31.6487,175.472,90.9208,-138.79,274.935,209.546
781,0,21.42,-109.612,248.72,76.566,43.1903,121.922,-31.6314,175.458,90.9125,-138.765,274.949,209.546
782,0,21.3831,-109.606,248.71,76.5927,43.2122,121.93,-31.6366,175.455,90.9055,-138.745,274.921,209.558
783,0,21.3654,-109.596,248.716,76.6177,43.2152,121.946,-31.6308,175.461,90.8996,-138.737,274.93,209.55
784,0,21.3716,-109.601,248.72,76.6013,43.2109,121.943,-31.631,175.456,90.916,-138.7,274.92,209.549
785,0,21.4063,-109.562,248.728,76.6285,43.2159,121.942,-31.637,175.473,90.9092,-138.675,274.914,209.558
786,0,21.3602,-109.592,248.763,76.6543,43.2022,121.972,-31.6304,175.468,90.9008,-138.666,274.898,209.568
787,0,21.3432,-109.567,248.756,76.6474,43.2053,121.975,-31.6401,175.452,90.9005,-138.642,274.9,209.588
788,0,21.3909,-109.562,248.778,76.645,43.2144,121.999,-31.6496,175.483,90.8918,-138.635,274.881,209.567
789,0,21.3573,-109.523,248.76,76.6693,43.2176,121.965,-31.6638,175.482,90.8634,-138.621,274.888,209.575
790,0,21.3229,-109.548,248.775,76.6576,43.2362,121.991,-31.6452,175.483,90.8783,-138.618,274.879,209.573
791,0,21.3209,-109.522,248.779,76.6911,43.2503,121.991,-31.6372,175.476,90.8801,-138.619,274.878,209.549
792,0,21.3135,-109.541,248.768,76.698,43.2592,122.007,-31.6126,175.484,90.883,-138.606,274.872,209.562
793,0,21.3445,-109.506,248.773,76.7196,43.2794,122.003,-31.5826,175.494,90.8586,-138.628,274.864,209.551
794,0,21.3513,-109.52,248.748,76.718,43.2896,122.027,-31.5663,175.495,90.8668,-138.619,274.869,209.559
795,0,21.3237,-109.507,248.757,76.7305,43.2804,122.029,-31.5763,175.501,90.8677,-138.636,274.868,209.558
796,0,21.3049,-109.499,248.74,76.7525,43.2961,122.038,-31.5724,175.522,90.8638,-138.619,274.869,209.545
797,0,21.3098,-109.479,248.73,76.7764,43.2995,122.07,-31.5628,175.532,90.863,-138.628,274.851,209.549
798,0,21.3018,-109.438,248.729,76.7618,43.3171,122.052,-31.5646,175.55,90.8666,-138.656,274.843,209.548
799,0,21.225,-109.436,248.724,76.7543,43.3295,122.074,-31.5687,175.558,90.8636,-138.65,274.839,209.575
800,0,21.2146,-109.414,248.728,76.7395,43.3496,122.071,-31.5675,175.554,90.861,-138.648,274.833,209.567
801,0,21.1989,-109.399,248.744,76.7321,43.3818,122.05,-31.5725,175.555,90.8505,-138.641,274.823,209.566
802,0,21.1811,-109.312,248.764,76.7536,43.3693,122.081,-31.5898,175.573,90.8383,-138.638,274.818,209.565
803,0,21.1591,-109.322,248.745,76.7691,43.3884,122.073,-31.5652,175.571,90.8635,-138.625,274.817,209.561
804,0,21.1507,-109.258,248.78,76.7809,43.391,122.084,-31.5782,175.597,90.8514,-138.645,274.807,209.586
805,0,21.1835,-109.276,248.805,76.7752,43.4224,122.059,-31.5523,175.574,90.8409,-138.643,274.791,209.587
806,0,21.181,-109.267,248.815,76.7652,43.3993,122.099,-31.5494,175.573,90.8617,-138.61,274.81,209.573
807,0,21.178,-109.258,248.847,76.768,43.4158,122.096,-31.5678,175.583,90.8353,-138.559,274.799,209.555
808,0,21.2102,-109.256,248.87,76.7732,43.4089,122.092,-31.5849,175.581,90.8206,-138.526,274.77,209.577
809,0,21.1712,-109.263,248.869,76.7663,43.4126,122.08,-31.5904,175.567,90.8209,-138.516,274.753,209.583
810,0,21.1755,-109.261,248.869,76.7618,43.395,122.085,-31.57,175.54,90.8161,-138.479,274.741,209.568
811,0,21.1715,-109.238,248.864,76.8004,43.3932,122.083,-31.56,175.555,90.7978,-138.446,274.742,209.571
812,0,21.1691,-109.283,248.896,76.7816,43.4151,122.101,-31.5593,175.566,90.8074,-138.457,274.745,209.567
813,0,21.1128,-109.201,248.852,76.7867,43.4324,122.083,-31.5433,175.571,90.8096,-138.434,274.739,209.549
814,0,21.1191,-109.202,248.879,77.057,43.6951,122.089,-31.5736,175.579,90.8052,-138.439,274.755,209.549
815,0,21.0663,-109.188,248.871,77.0473,43.7062,122.085,-31.5602,175.585,90.8264,-138.462,274.743,209.549
816,0,21.0744,-109.154,248.891,77.0394,43.7258,122.116,-31.5602,175.592,90.8309,-138.495,274.753,209.553
817,0,21.0582,-109.128,248.853,77.0561,43.7399,122.117,-31.5615,175.589,90.8448,-138.533,274.748,209.58
818,0,21.089,-109.154,248.913,77.043,43.7345,122.123,-31.5607,175.606,90.8182,-138.555,274.758,209.539
819,0,21.0453,-109.131,248.89,77.034,43.7323,122.104,-31.5867,175.578,90.835,-138.545,274.729,209.537
820,0,21.0215,-109.154,248.918,77.0272,43.7368,122.1,-31.5878,175.576,90.8172,-138.546,274.724,209.55
821,0,21.0274,-109.129,248.886,77.0347,43.7275,122.108,-31.5769,175.58,90.8135,-138.478,274.7,209.569
822,0,21.0054,-109.119,248.899,77.0592,43.736,122.114,-31.5502,175.579,90.8117,-138.437,274.662,209.569
823,0,21.0118,-109.125,248.909,77.0278,43.7534,122.117,-31.5523,175.567,90.8168,-138.468,274.651,209.565
824,0,20.9745,-109.09,248.891,77.0343,43.7291,122.118,-31.5514,175.561,90.8038,-138.414,274.633,209.571
825,0,20.9602,-109.091,248.876,77.0283,43.7213,122.116,-31.5629,175.573,90.7927,-138.434,274.591,209.573
826,0,20.9475,-109.09,248.861,77.0369,43.7209,122.095,-31.5848,175.564,90.8026,-138.408,274.614,209.551
827,0,20.9286,-109.097,248.857,76.7718,43.5171,122.096,-31.5717,175.564,90.8099,-138.406,274.622,209.582
828,0,20.8866,-109.125,248.878,77.0086,43.7149,122.101,-31.5474,175.589,90.7945,-138.393,274.597,209.584
829,0,20.9026,-109.129,248.897,77.0281,43.715,122.1,-31.5799,175.557,90.8108,-138.393,274.581,209.576
830,0,20.8791,-109.103,248.886,76.9832,43.702,122.113,-31.5955,175.542,90.7921,-138.384,274.574,209.589
831,0,20.823,-109.097,248.841,76.9758,43.6884,122.096,-31.5806,175.529,90.772,-138.384,274.553,209.58
832,0,20.8331,-109.108,248.868,76.9879,43.6865,122.088,-31.6358,175.519,90.7975,-138.394,274.528,209.578
833,0,20.7859,-109.135,248.87,76.9403,43.7066,122.055,-31.6371,175.517,90.7759,-138.366,274.542,209.579
834,0,20.7903,-109.09,248.846,76.9391,43.699,122.068,-31.6366,175.528,90.8104,-138.35,274.545,209.574
835,0,20.7963,-109.107,248.883,76.9286,43.7018,122.05,-31.6495,175.521,90.7871,-138.361,274.546,209.591
836,0,20.7603,-109.089,248.857,76.9301,43.707,122.065,-31.6392,175.52,90.7894,-138.411,274.54,209.593
837,0,20.6644,-109.09,248.859,76.9176,43.7068,122.063,-31.632,175.523,90.7829,-138.376,274.545,209.615
838,0,20.6859,-109.058,248.838,76.9262,43.698,122.12,-31.6364,175.53,90.7795,-138.408,274.528,209.595
839,0,20.6796,-109.035,248.834,76.9252,43.7221,122.091,-31.6293,175.534,90.7727,-138.376,274.532,209.582
840,0,20.6435,-109.056,248.808,76.9186,43.7357,122.108,-31.6355,175.558,90.7952,-138.354,274.541,209.577
841,0,20.601,-109.014,248.765,76.9448,43.7526,122.111,-31.638,175.541,90.7857,-138.36,274.527,209.582
842,0,20.6093,-109.034,248.793,76.9259,43.7616,122.124,-31.6211,175.533,90.7983,-138.4,274.532,209.582
843,0,20.562,-109.04,248.79,76.9162,43.7419,122.11,-31.6248,175.527,90.7815,-138.411,274.542,209.564
844,0,20.5995,-109.032,248.789,76.8665,43.7238,122.099,-31.6248,175.52,90.7965,-138.434,274.538,209.572
845,0,20.5074,-109.019,248.733,76.8717,43.7437,122.075,-31.674,175.507,90.7656,-138.455,274.529,209.567
846,0,20.4662,-109.037,248.746,76.8892,43.7356,122.03,-31.6863,175.515,90.7681,-138.452,274.499,209.581
847,0,20.4985,-109.07,248.736,76.8864,43.7349,122.059,-31.6646,175.491,90.7833,-138.496,274.501,209.566
848,0,20.5137,-109.079,248.746,76.8534,43.7377,122.054,-31.6879,175.482,90.7779,-138.539,274.513,209.564
849,0,20.4702,-109.065,248.711,76.8722,43.7116,122.059,-31.6972,175.461,90.7835,-138.532,274.518,209.563
850,0,20.4873,-109.086,248.748,76.864,43.7206,122.075,-31.6821,175.48,90.7589,-138.554,274.495,209.575
851,0,20.5013,-109.062,248.754,76.8779,43.7167,122.068,-31.6612,175.465,90.7659,-138.555,274.506,209.552
852,0,20.5135,-109.09,248.758,76.8563,43.7389,122.105,-31.6796,175.475,90.7619,-138.529,274.528,209.548
853,0,20.4757,-109.071,248.724,76.8906,43.7127,122.14,-31.6624,175.48,90.7818,-138.545,274.522,209.567
854,0,20.5333,-109.089,248.767,76.8842,43.7359,122.118,-31.672,175.483,90.7688,-138.537,274.49,209.587
855,0,20.5016,-109.063,248.76,76.8759,43.7549,122.086,-31.6507,175.479,90.7737,-138.514,274.471,209.583
856,0,20.5052,-109.088,248.764,76.8655,43.7419,122.104,-31.6641,175.47,90.7771,-138.493,274.438,209.58
857,0,20.5491,-109.087,248.769,76.8651,43.7441,122.079,-31.6712,175.466,90.7828,-138.478,274.45,209.588
858,0,20.5255,-109.084,248.796,76.8979,43.7207,122.122,-31.6835,175.474,90.788,-138.491,274.417,209.6
859,0,20.507,-109.072,248.758,76.8767,43.7334,122.124,-31.6694,175.476,90.7903,-138.472,274.43,209.598
860,0,20.5317,-109.057,248.776,76.8914,43.7582,122.095,-31.6468,175.48,90.7776,-138.504,274.417,209.614
861,0,20.562,-109.018,248.771,76.9128,43.7373,122.126,-31.6849,175.483,90.7687,-138.48,274.429,209.605
862,0,20.5411,-109.03,248.759,76.9155,43.7593,122.14,-31.6437,175.491,90.7513,-138.47,274.418,209.587
863,0,20.527,-109.019,248.748,76.9348,43.7824,122.127,-31.6534,175.505,90.7739,-138.487,274.395,209.617
864,0,20.5659,-109.008,248.75,76.9297,43.7751,122.143,-31.6468,175.501,90.772,-138.514,274.372,209.628
865,0,20.5877,-109.043,248.799,76.899,43.7909,122.124,-31.6609,175.511,90.7683,-138.51,274.329,209.617
866,0,20.5283,-109.045,248.77,76.942,43.7864,122.133,-31.5974,175.515,90.7636,-138.465,274.286,209.618
867,0,20.5365,-109.054,248.756,76.9215,43.7853,122.12,-31.6144,175.528,90.7719,-138.48,274.243,209.639
868,0,20.5551,-109.052,248.751,76.9415,43.7772,122.123,-31.6314,175.527,90.7731,-138.431,274.228,209.626
869,0,20.5761,-109.065,248.728,76.9237,43.7795,122.126,-31.6128,175.518,90.7743,-138.408,274.219,209.657
870,0,20.5779,-109.058,248.736,76.9177,43.7756,122.157,-31.6172,175.524,90.783,-138.38,274.214,209.66
871,0,20.5698,-109.094,248.735,76.9484,43.7654,122.134,-31.6334,175.507,90.788,-138.382,274.215,209.661
872,0,20.5821,-109.141,248.73,76.9384,43.7442,122.152,-31.6074,175.499,90.7785,-138.356,274.199,209.676
873,0,20.5693,-109.125,248.667,76.9228,43.743,122.153,-31.6302,175.499,90.7539,-138.331,274.199,209.683
874,0,20.5881,-109.151,248.648,76.9229,43.7116,122.126,-31.6473,175.47,90.7626,-138.305,274.187,209.688
875,0,20.564,-109.155,248.603,76.9095,43.7198,122.14,-31.6266,175.472,90.7746,-138.292,274.197,209.676
876,0,20.5503,-109.167,248.62,76.8976,43.7058,122.081,-31.6337,175.475,90.7597,-138.318,274.204,209.666
877,0,20.5147,-109.212,248.579,76.9349,43.7164,122.076,-31.6095,175.464,90.7776,-138.311,274.172,209.666
878,0,20.5404,-109.199,248.575,76.7079,43.4823,122.08,-31.6184,175.449,90.7581,-138.34,274.181,209.676
879,0,20.5895,-109.206,248.581,76.7014,43.5068,122.083,-31.6279,175.457,90.7627,-138.349,274.175,209.672
880,0,20.5381,-109.204,248.558,76.967,43.7089,122.097,-31.6487,175.471,90.778,-138.375,274.181,209.656
881,0,20.6066,-109.199,248.575,76.9535,43.6985,122.119,-31.6343,175.466,90.7887,-138.352,274.176,209.666
882,0,20.5574,-109.2,248.558,76.9654,43.7036,122.107,-31.6137,175.478,90.7698,-138.376,274.185,209.676
883,0,20.549,-109.194,248.539,76.9477,43.6895,122.114,-31.6251,175.49,90.7782,-138.36,274.207,209.672
884,0,20.6056,-109.225,248.56,76.9314,43.7099,122.107,-31.6198,175.464,90.7666,-138.371,274.19,209.69
885,0,20.5801,-109.204,248.539,76.7164,43.5015,122.075,-31.6155,175.474,90.7678,-138.378,274.189,209.676
886,0,20.5881,-109.233,248.506,76.9404,43.6778,122.114,-31.6139,175.471,90.7773,-138.374,274.2,209.68
887,0,20.5979,-109.25,248.534,76.7265,43.4557,122.098,-31.6291,175.478,90.7869,-138.391,274.181,209.668
888,0,20.6042,-109.243,248.518,76.9487,43.6729,122.096,-31.6541,175.451,90.7663,-138.37,274.181,209.674
889,0,20.5743,-109.246,248.519,76.9181,43.6995,122.069,-31.6051,175.464,90.7776,-138.392,274.172,209.676
890,0,20.5899,-109.209,248.505,76.9667,43.6846,122.092,-31.6416,175.466,90.771,-138.372,274.177,209.673
891,0,20.6198,-109.214,248.502,76.75,43.4753,122.096,-31.6289,175.47,90.7795,-138.379,274.201,209.662
892,0,20.5631,-109.221,248.474,76.9498,43.6722,122.103,-31.6571,175.486,90.7744,-138.349,274.179,209.67
893,0,20.5674,-109.266,248.468,76.9553,43.6825,122.105,-31.6177,175.472,90.7764,-138.344,274.149,209.671
894,0,20.6141,-109.277,248.486,76.7205,43.501,122.079,-31.625,175.471,90.7842,-138.302,274.139,209.679
895,0,20.5825,-109.294,248.45,76.9485,43.7037,122.096,-31.6257,175.478,90.7773,-138.279,274.122,209.684
896,0,20.6014,-109.292,248.441,76.9564,43.6946,122.065,-31.6163,175.483,90.784,-138.252,274.121,209.671
897,0,20.6431,-109.316,248.455,76.9736,43.671,122.079,-31.6464,175.478,90.78,-138.261,274.096,209.695
898,0,20.6258,-109.32,248.427,76.987,43.6615,122.101,-31.5818,175.46,90.7831,-138.211,274.071,209.691
899,0,20.6803,-109.348,248.454,76.7628,43.4456,122.105,-31.5948,175.458,90.7887,-138.193,274.062,209.699
900,0,20.7218,-109.363,248.446,77.0023,43.6621,122.071,-31.6026,175.47,90.7844,-138.199,274.055,209.709
901,0,20.7156,-109.38,248.438,77.0209,43.6687,122.088,-31.6121,175.461,90.7982,-138.174,274.035,209.697
902,0,20.6913,-109.366,248.401,76.7731,43.4451,122.092,-31.6098,175.437,90.7928,-138.183,274.023,209.706
903,0,20.7069,-109.363,248.422,76.9997,43.6643,122.125,-31.614,175.448,90.7812,-138.182,274.033,209.684
904,0,20.7163,-109.382,248.414,77.0044,43.6843,122.077,-31.5868,175.456,90.7872,-138.196,273.995,209.703
905,0,20.6692,-109.374,248.367,76.7934,43.464,122.113,-31.5761,175.474,90.8044,-138.151,274.008,209.674
906,0,20.6704,-109.365,248.383,77.0102,43.6684,122.107,-31.5838,175.476,90.7889,-138.151,274.013,209.689
907,0,20.6802,-109.357,248.381,76.7527,43.4698,122.083,-31.5912,175.47,90.7767,-138.13,274.01,209.687
908,0,20.6688,-109.334,248.347,76.7789,43.4796,122.077,-31.6,175.457,90.7674,-138.128,273.999,209.689
909,0,20.6827,-109.341,248.343,76.7623,43.474,122.102,-31.5988,175.464,90.7824,-138.149,274.002,209.672
910,0,20.6634,-109.351,248.349,77.0263,43.6712,122.098,-31.6027,175.469,90.7868,-138.161,274.003,209.685
911,0,20.7534,-109.378,248.371,77.0281,43.6886,122.086,-31.5794,175.478,90.7803,-138.212,273.999,209.712
912,0,20.7023,-109.377,248.343,76.8055,43.4744,122.108,-31.5704,175.467,90.7892,-138.229,274.004,209.705
913,0,20.6775,-109.351,248.329,77.0199,43.7063,122.115,-31.5704,175.476,90.8116,-138.277,274.004,209.706
914,0,20.6793,-109.361,248.331,76.8137,43.4889,122.089,-31.5589,175.454,90.7673,-138.243,274.019,209.684
915,0,20.663,-109.331,248.293,76.8087,43.4972,122.099,-31.5719,175.482,90.7877,-138.263,274.017,209.684
916,0,20.6262,-109.326,248.305,76.8399,43.5173,122.102,-31.5547,175.49,90.7986,-138.234,274.025,209.686
917,0,20.6549,-109.358,248.356,77.0633,43.7329,122.121,-31.5721,175.495,90.783,-138.231,274.029,209.706
918,0,20.6616,-109.324,248.327,77.048,43.7465,122.105,-31.5508,175.501,90.7948,-138.23,274.031,209.699
919,0,20.6352,-109.3,248.334,77.029,43.7528,122.109,-31.5633,175.523,90.7867,-138.235,274.016,209.695
